f1,precision,recall,balanced_accuracy,false_alert_rate,tn,fp,fn,tp,method,threshold,seed,severity
0.8844517184942717,0.9085406859448554,0.8616071428571429,0.8984534287073536,0.06470028544243578,1966,136,217,1351,Temporal HistGradientBoosting,0.31,1,0.2
0.8757908757908758,0.9163763066202091,0.8386479591836735,0.8907797360142915,0.05708848715509039,1982,120,253,1315,Camera Only,0.64,1,0.4
0.7909238249594813,0.8042188529993408,0.7780612244897959,0.8183836093904735,0.1412940057088487,1805,297,348,1220,Accelerometer Only,0.62,1,0.4
0.8479809976247031,0.7933333333333333,0.9107142857142857,0.8668699877667527,0.17697431018078022,1730,372,140,1428,Mean Late Fusion,0.44,1,0.4
0.8637383776851555,0.8684719535783365,0.8590561224489796,0.881002847142663,0.09705042816365367,1898,204,221,1347,Max OR Fusion,0.73,1,0.4
0.8377312708522899,0.7987275882012724,0.8807397959183674,0.8575915915843026,0.16555661274976213,1754,348,187,1381,Min Agreement Fusion,0.29000000000000004,1,0.4
0.8517110266159695,0.8463476070528967,0.8571428571428571,0.87053146663042,0.11607992388201713,1858,244,224,1344,Product Agreement Fusion,0.24000000000000002,1,0.4
0.8654453569172458,0.8573216520650814,0.8737244897959183,0.8826281821006232,0.10846812559467174,1874,228,198,1370,Naive Independence,0.8300000000000001,1,0.4
0.8459214501510574,0.892983699503898,0.8035714285714286,0.8658675411173032,0.07183634633682208,1951,151,308,1260,Rule AND Tuned,0.48000000000000004,1,0.4
0.8637383776851555,0.8684719535783365,0.8590561224489796,0.881002847142663,0.09705042816365367,1898,204,221,1347,Rule OR Tuned,0.73,1,0.4
0.8789088489687292,0.9186369958275382,0.8424744897959183,0.8934066074098526,0.05566127497621313,1985,117,247,1321,Calibrated Logistic Fusion,0.6900000000000001,1,0.4
0.899527983816588,0.9542203147353362,0.8507653061224489,0.9101590564865337,0.030447193149381543,2038,64,234,1334,Temporal Logistic Fusion,0.75,1,0.4
0.882332994235334,0.942070963070239,0.829719387755102,0.8958301981591875,0.038058991436726926,2022,80,267,1301,Temporal Extra Trees,0.53,1,0.4
0.8852901484480432,0.9398280802292264,0.8367346938775511,0.8983863764344939,0.039961941008563276,2018,84,256,1312,Temporal Random Forest,0.47000000000000003,1,0.4
0.8781127129750983,0.9029649595687331,0.8545918367346939,0.8930428260742926,0.06850618458610847,1958,144,228,1340,Temporal HistGradientBoosting,0.31,1,0.4
0.871404958677686,0.9045984900480439,0.8405612244897959,0.8872168634342414,0.06612749762131304,1963,139,250,1318,Camera Only,0.63,1,0.6
0.7863894139886578,0.7770859277708593,0.7959183673469388,0.8128021903337929,0.170313986679353,1744,358,320,1248,Accelerometer Only,0.5700000000000001,1,0.6
0.8447867298578199,0.7887168141592921,0.9094387755102041,0.8638535456999166,0.18173168411037108,1720,382,142,1426,Mean Late Fusion,0.44,1,0.6
0.8559565633982753,0.8573256557901472,0.8545918367346939,0.8742511990524088,0.10608943862987631,1879,223,228,1340,Max OR Fusion,0.73,1,0.6
0.83202416918429,0.7904707233065442,0.8781887755102041,0.8522723135400687,0.1736441484300666,1737,365,191,1377,Min Agreement Fusion,0.29000000000000004,1,0.6
0.8441353145747708,0.8369905956112853,0.8514030612244898,0.8638556695275637,0.12369172216936251,1842,260,233,1335,Product Agreement Fusion,0.24000000000000002,1,0.6
0.8559925673583153,0.8320288982540638,0.8813775510204082,0.8743234091924115,0.13273073263558516,1823,279,186,1382,Naive Independence,0.8,1,0.6
0.8424242424242424,0.8922967189728959,0.7978316326530612,0.8629976431581196,0.07183634633682208,1951,151,317,1251,Rule AND Tuned,0.48000000000000004,1,0.6
0.8559565633982753,0.8573256557901472,0.8545918367346939,0.8742511990524088,0.10608943862987631,1879,223,228,1340,Rule OR Tuned,0.73,1,0.6
